id	rate
27133	45457
27135	40638
27137	38059
27139	45400
27141	33474
27143	39205
27145	35504
27147	39554
27149	43547
27151	39923
27153	30838
27155	46368
27157	39457
27159	30456
27161	38159
27163	49523
27165	39074
27167	42437
27169	35049
27171	37196
27173	42986
28000	32000
28001	32709
28003	27844
28005	28802
28007	26452
28009	22063
28011	32106
28013	26712
28015	34634
28017	28711
28019	25845
28021	27804
28023	26603
28025	29417
28027	32607
28029	24552
28031	28192
28033	33737
28035	30198
28037	26564
28039	25477
28041	22950
28043	30231
28045	33515
28047	35878
28049	35473
28051	27815
28053	28808
28055	43298
28057	29915
28059	35748
28061	28754
28063	25373
28065	27030
28067	33432
28069	27363
28071	32345
28073	34386
28075	32582
28077	30941
28079	24224
28081	34432
28083	30888
28085	27516
28087	33905
28089	50233
28091	28384
28093	26236
28095	28516
28097	28464
28099	33776
28101	27802
28103	25904
28105	28340
28107	27658
28109	28453
28111	22981
28113	27361
28115	26798
28117	24871
28119	28582
28121	36317
28123	26026
28125	31188
28127	31689
28129	25192
28131	28199
28133	26969
28135	25187
28137	28643
28139	26657
28141	24681
28143	30943
28145	28858
28147	24971
28149	36792
28151	31412
28153	27555
28155	25098
28157	24685
28159	26491
28161	30303
28163	26280
29000	37969
29001	27321
29003	44465
29005	41250
29007	31899
29009	30278
29011	28823
29013	32429
29015	28794
29017	26746
29019	37409
29021	33732
29023	34612
29025	36370
29027	28697
29029	32827
29031	35792
29033	36552
29035	25973
29037	35244
29039	26954
29041	38985
29043	32014
29045	31779
29047	38213
29049	35628
29051	40147
29053	30790
29055	30648
29057	26265
29059	28709
29061	29450
29063	24697
29065	28436
29067	25460
29069	31855
29071	35811
29073	31594
29075	34887
29077	35429
29079	31707
29081	31304
29083	32287
29085	22819
29087	36631
29089	36385
29091	27555
29093	27272
29095	40564
29097	29709
29099	34681
29101	29639
29103	31360
29105	27424
29107	37831
29109	26896
29111	29094
29113	30310
29115	32343
29117	32776
29119	24849
29121	31164
29123	27258
29125	31954
29127	34200
29129	27364
29131	27262
29133	27683
29135	32019
29137	31604
29139	31609
29141	29580
29143	32065
29145	34854
29147	27114
29149	24768
29151	35100
29153	25491
29155	33937
29157	30747
29159	31806
29161	31287
29163	29756
29165	44561
29167	27154
29169	41655
29171	28131
29173	33785
29175	32687
29177	36311
29179	26915
29181	25807
29183	41257
29185	27128
29186	33652
29187	27886
29189	52783
29195	37154
29197	25902
29199	29645
29201	36219
29203	22152
29205	34336
29207	33574
29209	33231
29211	33965
29213	27214
29215	24362
29217	31011
29219	33708
29221	25481
29223	25778
29225	27266
29227	29600
29229	24580
29510	37232
30000	36016
30001	33476
30003	26805
30005	28380
30007	28067
30009	35892
